rct,nodea,nodeb,map_rel
2154,2154,1128,1
2153,2153,1328,1
2152,2152,143,1
2150,2150,187,1
2149,2149,1538,1
2147,2147,1476,1
2147,2147,100,1
2145,2145,1445,1
2143,2143,1777,1
2142,2142,1235,1
2140,2140,416,1
2139,2139,1224,1
2139,2139,1490,1
2137,2137,1036,1
2136,2136,676,1
2135,2135,621,1
2134,2134,1235,1
2133,2133,806,1
2132,2132,1192,1
2132,2132,44,1
2132,2132,788,1
2131,2131,572,1
2130,2130,513,1
2129,2129,271,1
2128,2128,1334,1
2127,2127,922,1
2125,2125,875,1
2123,2123,1432,1
2122,2122,140,1
2121,2121,158,1
2120,2120,1740,1
2119,2119,872,1
2119,2119,872,3
2118,2118,1540,1
2117,2117,924,1
2116,2116,1965,1
2113,2113,2040,1
2112,2112,189,1
2112,2112,189,3
2111,2111,402,1
2111,2111,402,3
2110,2110,1001,1
2110,2110,1965,1
2110,2110,44,1
2109,2109,1476,1
2108,2108,1572,1
2106,2106,339,1
2103,2103,1082,1
2102,2102,765,1
2100,2100,659,1
2099,2099,367,1
2095,2095,709,1
2093,2093,473,1
2091,2091,1902,1
2091,2091,607,1
2091,2091,44,1
2088,2088,218,1
2085,2085,22,1
2083,2083,1072,1
2081,2081,694,1
2079,2079,1472,1
2077,2077,1189,1
2075,2075,1494,1
2072,2072,1669,1
2071,2071,863,1
2070,2070,306,1
2069,2069,365,1
2067,2067,286,1
2066,2066,752,1
2066,2066,1886,1
2066,2066,752,13
2066,2066,1886,13
2066,2066,752,14
2066,2066,1886,14
2062,2062,859,1
2061,2061,1678,1
2060,2060,232,1
2059,2059,44,1
2059,2059,223,1
2059,2059,901,1
2058,2058,630,1
2056,2056,1249,1
2054,2054,1151,1
2053,2053,1137,1
2050,2050,342,1
2045,2045,9,1
2044,2044,1307,1
2044,2044,2204,1
2043,2043,2004,1
2041,2041,765,1
2039,2039,2040,1
2037,2037,804,1
2036,2036,983,1
2035,2035,1759,1
2035,2035,1106,1
2034,2034,1139,1
2034,2034,316,1
2034,2034,158,1
2033,2033,974,1
2031,2031,75,1
2029,2029,1332,1
2028,2028,265,1
2028,2028,7,1
2028,2028,504,1
2027,2027,1142,1
2023,2023,1599,1
2022,2022,1392,1
2022,2022,1304,1
2022,2022,2279,1
2020,2020,1120,1
2019,2019,33,1
2018,2018,962,1
2017,2017,316,1
2016,2016,50,1
2014,2014,1107,1
2013,2013,863,1
2012,2012,606,1
2010,2010,277,1
2009,2009,20,1
2009,2009,2065,1
2009,2009,2162,1
2009,2009,11,1
2009,2009,410,1
2006,2006,15,1
2003,2003,185,1
2001,2001,278,1
2000,2000,78,1
2000,2000,78,3
1999,1999,1313,1
1998,1998,290,1
1997,1997,280,1
1997,1997,2064,1
1997,1997,683,1
1994,1994,571,1
1993,1993,1093,1
1992,1992,1301,1
1990,1990,1031,1
1990,1990,654,1
1990,1990,1058,1
1988,1988,1191,1
1987,1987,1085,1
1986,1986,901,1
1981,1981,567,1
1981,1981,1192,1
1981,1981,1656,1
1981,1981,69,1
1979,1979,81,1
1978,1978,1354,1
1977,1977,20,1
1977,1977,20,3
1976,1976,1968,1
1974,1974,1301,1
1974,1974,543,1
1974,1974,543,2
1974,1974,1301,2
1974,1974,1301,3
1974,1974,543,3
1970,1970,1971,1
1967,1967,1968,1
1964,1964,424,1
1962,1962,711,1
1961,1961,263,1
1961,1961,115,1
1958,1958,948,1
1956,1956,538,1
1953,1953,1412,1
1950,1950,226,1
1950,1950,1301,1
1948,1948,158,1
1946,1946,994,1
1943,1943,924,1
1943,1943,1623,1
1942,1942,1247,1
1941,1941,935,1
1941,1941,172,1
1940,1940,1350,1
